[2026-01-17 21:30:15] LUT_lookup start: direction=forward, n_size=[1 1], value_size=[1 998]
[2026-01-17 21:30:15] LUT_lookup end.
[2026-01-24 23:23:43] LUT_lookup start: direction=inverse, n_size=[1201 4000], value_size=[1201 4000]
[2026-01-24 23:23:44] n=1: keep all 188166 values unchanged.
[2026-02-08 20:40:28] n=79: 192 below min->0, 0 above max->1, total=112655 (range=[0.0999, 1.0000]).
[2026-02-08 20:40:28] n=80: 216 below min->0, 0 above max->1, total=112375 (range=[0.0992, 1.0000]).
[2026-02-08 20:40:28] n=81: 212 below min->0, 0 above max->1, total=113504 (range=[0.0986, 1.0000]).
[2026-02-08 20:40:28] n=82: 189 below min->0, 0 above max->1, total=112736 (range=[0.0980, 1.0000]).
[2026-02-08 20:40:28] n=83: 191 below min->0, 0 above max->1, total=113207 (range=[0.0974, 1.0000]).
[2026-02-08 20:40:28] n=84: 202 below min->0, 0 above max->1, total=113597 (range=[0.0968, 1.0000]).
[2026-02-08 20:40:28] n=85: 185 below min->0, 0 above max->1, total=113953 (range=[0.0963, 1.0000]).
[2026-02-08 20:40:28] n=86: 166 below min->0, 0 above max->1, total=113986 (range=[0.0957, 1.0000]).
[2026-02-08 20:40:29] n=87: 173 below min->0, 0 above max->1, total=114370 (range=[0.0952, 1.0000]).
[2026-02-08 20:40:29] n=88: 197 below min->0, 0 above max->1, total=114108 (range=[0.0946, 1.0000]).
[2026-02-08 20:40:29] n=89: 209 below min->0, 0 above max->1, total=114390 (range=[0.0941, 1.0000]).
[2026-02-08 20:40:29] n=90: 184 below min->0, 0 above max->1, total=114245 (range=[0.0935, 1.0000]).
[2026-02-08 20:40:29] n=91: 161 below min->0, 0 above max->1, total=115580 (range=[0.0930, 1.0000]).
[2026-02-08 20:40:29] n=92: 161 below min->0, 0 above max->1, total=115014 (range=[0.0925, 1.0000]).
[2026-02-08 20:40:29] n=93: 140 below min->0, 0 above max->1, total=114856 (range=[0.0920, 1.0000]).
[2026-02-08 20:40:29] n=94: 162 below min->0, 0 above max->1, total=115291 (range=[0.0915, 1.0000]).
[2026-02-08 20:40:29] n=95: 156 below min->0, 0 above max->1, total=115672 (range=[0.0910, 1.0000]).
[2026-02-08 20:40:29] n=96: 166 below min->0, 0 above max->1, total=115312 (range=[0.0906, 1.0000]).
[2026-02-08 20:40:29] n=97: 168 below min->0, 0 above max->1, total=115566 (range=[0.0901, 1.0000]).
[2026-02-08 20:40:30] n=98: 172 below min->0, 0 above max->1, total=116032 (range=[0.0896, 1.0000]).
[2026-02-08 20:40:30] n=99: 185 below min->0, 0 above max->1, total=116322 (range=[0.0892, 1.0000]).
[2026-02-08 20:40:30] n=100: 158 below min->0, 0 above max->1, total=116514 (range=[0.0887, 1.0000]).
[2026-02-08 20:40:30] n=101: 158 below min->0, 0 above max->1, total=116030 (range=[0.0883, 1.0000]).
[2026-02-08 20:40:30] n=102: 161 below min->0, 0 above max->1, total=116137 (range=[0.0879, 1.0000]).
[2026-02-08 20:40:30] n=103: 141 below min->0, 0 above max->1, total=116065 (range=[0.0874, 1.0000]).
[2026-02-08 20:40:30] n=104: 160 below min->0, 0 above max->1, total=116159 (range=[0.0870, 1.0000]).
[2026-02-08 20:40:30] n=105: 148 below min->0, 0 above max->1, total=116319 (range=[0.0866, 1.0000]).
[2026-02-08 20:40:30] n=106: 153 below min->0, 0 above max->1, total=116183 (range=[0.0862, 1.0000]).
[2026-02-08 20:40:30] n=107: 141 below min->0, 0 above max->1, total=116715 (range=[0.0858, 1.0000]).
[2026-02-08 20:40:30] n=108: 160 below min->0, 0 above max->1, total=116355 (range=[0.0854, 1.0000]).
[2026-02-08 20:40:31] n=109: 145 below min->0, 0 above max->1, total=116514 (range=[0.0850, 1.0000]).
